"Atelocynus","Crypturellus","Cuniculus","Dasyprocta","Dasypus","Didelphis","Eira","Herpailurus","Hydrochoerus","Leopardus","Mazama","Metachirus","Mitu","Myrmecophaga","Nasua","Nothocrax","Odontophorus","Panthera","Pecari","Penelope","Priodontes","Procyon","Psophia","Puma","Sciurus","Speothos","Sylvilagus","Tamandua","Tapirus","Tayassu","Tinamus"
0,3,6,16,49,0,6,0,0,0,11,0,9,0,5,0,0,0,16,0,0,0,12,0,0,0,0,3,35,0,0
0,0,0,3,3,0,0,0,0,0,12,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,20,6,0
0,0,6,54,15,0,0,0,0,0,50,0,76,0,3,0,0,0,16,12,0,0,0,3,0,0,0,0,0,41,0
0,0,0,34,11,0,0,0,0,0,12,0,57,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6
0,0,5,29,9,0,0,0,0,0,12,0,6,0,0,0,0,0,21,3,0,0,0,0,0,0,0,0,0,28,0
3,6,141,37,55,0,3,0,0,7,0,0,40,12,9,0,0,0,3,17,0,0,9,0,0,0,0,11,40,0,3
0,0,49,6,12,0,0,0,0,0,20,0,3,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0
0,0,6,30,3,0,0,0,0,0,6,0,6,9,0,0,0,0,8,3,3,0,0,0,0,0,0,3,0,0,0
0,0,0,0,12,0,3,0,0,0,331,0,0,0,0,0,0,0,258,0,0,0,0,0,0,0,0,0,9,113,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
0,0,13,0,39,0,3,0,0,3,60,0,7,0,0,0,0,6,0,0,0,0,9,0,0,0,0,0,0,0,0
0,0,10,8,0,0,0,0,0,1,2,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,17,10,0,0,0,0,0,39,0,0,0,0,0,0,0,16,4,0,0,0,0,0,0,0,5,0,8,0
0,0,0,111,9,0,3,0,0,0,6,0,44,3,0,0,0,0,10,22,3,0,12,0,0,0,0,3,0,0,6
0,0,0,0,7,0,0,0,0,0,15,0,0,0,0,0,0,0,16,0,0,0,6,0,0,0,0,0,0,0,0
0,0,38,77,33,0,0,0,0,0,24,0,9,0,0,0,0,0,9,30,0,0,30,0,0,0,0,0,0,0,12
0,0,3,16,0,1,0,0,0,0,1,0,0,0,2,0,1,0,1,0,0,0,7,0,0,0,0,0,0,3,4
0,0,0,7,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,9,3,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0
0,11,13,10,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
0,0,0,9,21,0,0,0,0,0,26,0,3,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,8,0,3
0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0
0,0,5,24,10,0,0,0,0,0,48,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,41,25,0,3,0,0,0,0,0,6,9,0,0,0,0,17,0,0,0,18,3,0,0,0,9,0,0,6
0,6,3,17,21,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,3,0,0,0,0,0,0,3,0,0,13
0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,21,3,23,0,3,0,0,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,78,0
0,0,0,15,0,0,0,0,0,0,14,0,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
0,3,3,42,8,0,0,0,0,0,41,0,9,0,0,0,0,0,8,0,6,0,6,0,0,0,0,0,0,0,9
0,0,2,17,0,0,0,0,0,0,37,0,20,0,0,0,0,0,17,0,3,0,10,0,0,0,0,0,0,0,10
0,0,0,7,14,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0
0,0,3,28,6,0,0,0,0,0,19,0,26,0,13,0,0,0,6,0,3,0,25,6,0,0,0,0,0,0,6
0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2,3,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,14,0,16,0,0,0,0,0,3,9,0,0,3,0,0,0,0,0,0,0,0
0,0,92,101,0,0,0,0,0,0,43,0,45,15,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0
0,0,0,21,24,0,0,0,0,0,52,0,62,0,28,0,0,0,0,0,0,0,3,0,0,0,0,0,0,151,0
0,0,3,72,0,0,0,0,0,3,30,0,27,3,6,0,0,0,14,0,3,0,3,0,0,0,3,0,0,0,3
0,0,0,28,33,0,0,0,0,6,6,0,90,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,9,0,0
3,0,9,64,0,0,3,0,0,0,0,0,6,0,0,0,3,0,6,0,0,0,6,0,0,0,0,0,0,0,3
3,3,3,85,36,0,0,0,0,0,12,0,12,3,0,0,0,0,0,0,0,0,20,3,0,0,0,0,0,0,3
0,0,0,6,0,0,0,0,0,0,0,0,8,3,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
0,0,16,24,51,9,0,0,0,5,12,0,6,0,7,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,7
0,0,0,3,0,0,0,0,0,3,24,0,0,0,0,0,0,0,27,0,0,0,16,0,0,0,0,0,0,0,0
0,0,3,86,6,0,0,0,0,0,3,0,18,0,0,0,0,0,20,3,0,0,0,0,0,0,0,0,0,33,0
0,29,28,33,20,0,0,0,0,4,51,0,102,0,0,0,0,0,56,0,9,0,108,0,0,0,0,9,15,0,44
0,3,0,38,25,0,0,0,0,0,9,0,9,3,0,0,0,0,34,0,0,0,13,0,0,0,0,0,3,28,0
0,6,2,3,15,0,0,0,0,3,26,0,9,0,0,0,0,0,39,9,0,0,0,0,0,0,0,6,11,0,0
0,3,18,100,12,0,0,0,0,0,30,0,145,3,36,0,0,0,296,36,0,0,3,3,0,0,0,0,0,0,12
0,0,0,15,3,0,0,0,0,0,0,0,35,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,43,0,46,3,0,3,0,0,0,24,0,9,0,54,0,0,3,21,5,0,0,9,0,18,0,0,6,0,0,22
0,3,9,6,8,0,0,0,0,3,0,0,17,0,0,0,0,0,9,0,0,0,6,0,0,0,0,0,0,3,0
0,0,0,6,5,0,2,0,0,0,7,0,3,0,5,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
0,3,14,0,5,0,0,0,0,0,8,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9,9,71,21,0,0,0,0,0,12,0,107,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,6,0,59
0,0,29,58,8,0,0,3,0,3,42,0,26,3,0,0,0,3,8,6,0,0,23,0,0,0,0,0,0,0,3
2,9,6,74,6,0,0,0,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9
0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3,87,0,0,6,0,0,9,60,0,0,3,0,0,0,3,17,8,0,0,0,3,0,0,0,0,0,6,3
0,0,0,55,42,0,0,0,0,0,8,0,0,3,12,0,0,0,42,0,0,0,6,0,0,0,0,0,0,0,0
0,0,14,63,36,0,0,0,0,0,24,0,0,0,0,0,0,0,9,0,0,0,0,6,0,0,0,0,0,0,12
12,0,0,26,29,0,0,0,0,5,14,0,0,0,0,0,0,0,19,0,0,0,3,6,0,0,0,0,0,0,3
0,2,0,3,9,0,0,0,0,0,6,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
0,0,5,70,14,0,0,0,0,0,3,0,12,3,35,0,0,0,0,0,0,0,89,0,0,0,0,3,0,6,3
0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,9,0,0,0,0,0,20,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,23,0
0,0,0,22,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,3,28,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
0,8,18,33,0,3,0,0,0,6,14,0,0,0,0,0,0,0,0,9,0,0,3,0,0,0,0,3,0,0,6
0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
