"placename","sampling_event","longitude","latitude"
"CT-257","2016",-62.8376987,-9.3976588
"CT-257","2018",-62.8376987,-9.3976588
"CT-258","2016",-62.8248198,-9.3976527
"CT-258","2017",-62.8248198,-9.3976527
"CT-258","2018",-62.8248198,-9.3976527
"CT-259","2016",-62.8119409,-9.3976461
"CT-259","2017",-62.8119409,-9.3976461
"CT-259","2018",-62.8119409,-9.3976461
"CT-278","2020",-63.056639,-9.384902
"CT-280","2017",-63.030882,-9.3849053
"CT-280","2019",-63.030882,-9.3849053
"CT-281","2017",-63.0180035,-9.3849062
"CT-281","2019",-63.0180035,-9.3849062
"CT-282","2020",-63.005125,-9.384907
"CT-283","2020",-62.992247,-9.384907
"CT-284","2017",-62.979368,-9.384906
"CT-285","2017",-62.9664895,-9.384905
"CT-286","2018",-62.953611,-9.3849036
"CT-287","2018",-62.9407325,-9.3849016
"CT-288","2018",-62.927854,-9.3848993
"CT-289","2018",-62.9149755,-9.3848964
"CT-290","2018",-62.902097,-9.3848931
"CT-291","2018",-62.8892185,-9.3848893
"CT-295","2016",-62.8377047,-9.3848694
"CT-295","2017",-62.8377047,-9.3848694
"CT-295","2018",-62.8377047,-9.3848694
"CT-296","2016",-62.8248262,-9.3848632
"CT-296","2018",-62.8248262,-9.3848632
"CT-316","2019",-63.056637,-9.3721126
"CT-316","2020",-63.056637,-9.3721126
"CT-317","2019",-63.0437589,-9.3721144
"CT-318","2019",-63.0308809,-9.3721158
"CT-319","2017",-63.0180029,-9.3721167
"CT-319","2019",-63.0180029,-9.3721167
"CT-320","2020",-63.005125,-9.372117
"CT-321","2020",-62.99225,-9.372117
"CT-322","2018",-62.9793688,-9.3721165
"CT-322","2020",-62.9793688,-9.3721165
"CT-323","2017",-62.9664907,-9.3721155
"CT-323","2018",-62.9664907,-9.3721155
"CT-323","2020",-62.9664907,-9.3721155
"CT-324","2017",-62.9536127,-9.3721141
"CT-324","2019",-62.9536127,-9.3721141
"CT-325","2017",-62.9407347,-9.3721122
"CT-325","2019",-62.9407347,-9.3721122
"CT-326","2018",-62.9278567,-9.3721098
"CT-327","2018",-62.9149786,-9.3721069
"CT-328","2018",-62.9021006,-9.3721036
"CT-329","2018",-62.8892226,-9.3720998
"CT-355","2017",-63.0437573,-9.3593249
"CT-355","2019",-63.0437573,-9.3593249
"CT-356","2017",-63.0308798,-9.3593263
"CT-356","2019",-63.0308798,-9.3593263
"CT-357","2017",-63.0180022,-9.3593272
"CT-357","2019",-63.0180022,-9.3593272
"CT-358","2018",-63.0051247,-9.3593276
"CT-359","2018",-62.9922471,-9.3593275
"CT-359","2020",-62.9922471,-9.3593275
"CT-360","2018",-62.9793695,-9.359327
"CT-360","2019",-62.9793695,-9.359327
"CT-360","2020",-62.9793695,-9.359327
"CT-361","2017",-62.966492,-9.359326
"CT-361","2019",-62.966492,-9.359326
"CT-362","2017",-62.9536144,-9.3593246
"CT-362","2019",-62.9536144,-9.3593246
"CT-363","2017",-62.9407369,-9.3593227
"CT-363","2019",-62.9407369,-9.3593227
"CT-364","2017",-62.9278593,-9.3593203
"CT-364","2019",-62.9278593,-9.3593203
"CT-366","2018",-62.9021042,-9.3593141
"CT-393","2017",-63.0437558,-9.3465354
"CT-393","2019",-63.0437558,-9.3465354
"CT-394","2017",-63.0308787,-9.3465368
"CT-394","2019",-63.0308787,-9.3465368
"CT-395","2020",-63.018002,-9.346538
"CT-396","2018",-63.0051245,-9.3465381
"CT-396","2020",-63.0051245,-9.3465381
"CT-397","2018",-62.9922474,-9.346538
"CT-397","2020",-62.9922474,-9.346538
"CT-398","2019",-62.9793703,-9.3465375
"CT-398","2017",-62.9793703,-9.3465375
"CT-399","2017",-62.9664932,-9.3465365
"CT-399","2019",-62.9664932,-9.3465365
"CT-400","2017",-62.9536161,-9.3465351
"CT-400","2019",-62.9536161,-9.3465351
"CT-401","2017",-62.940739,-9.3465332
"CT-401","2019",-62.940739,-9.3465332
"CT-402","2019",-62.9278619,-9.3465308
"CT-432","2018",-63.0308775,-9.3337473
"CT-432","2020",-63.0308775,-9.3337473
"CT-434","2017",-63.0051243,-9.3337486
"CT-434","2018",-63.0051243,-9.3337486
