"sampling_event","longitude","latitude","placename","dist_water","intensity_500","intensity_250","effort","Atelocynus","Dasyprocta","Myrmecophaga","Pecari","Tapirus","Cuniculus","Leopardus","Mazama","Nasua","Tayassu","Puma","Tamandua","Didelphis","Eira","Dasypus","Priodontes","Panthera"
"2019",-63.030882,-9.3849053,"CT-280",813.940979,0,0,45,0,0,0,9,0,0,0,0,3,0,0,0,0,0,0,0,3
"2017",-63.0180035,-9.3849062,"CT-281",158.1139984,0,0,57,0,69,0,8,9,15,0,0,0,6,0,0,3,0,0,0,0
"2019",-63.0180035,-9.3849062,"CT-281",158.1139984,0,0,46,0,61,0,0,0,6,0,9,0,0,0,0,0,0,0,3,0
"2020",-63.005125,-9.384907,"CT-282",650,0,0,44,0,47,10,0,0,55,6,10,3,6,0,3,8,0,18,0,0
"2020",-62.992247,-9.384907,"CT-283",350,0,0,44,0,16,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0
"2017",-62.979368,-9.384906,"CT-284",728.0109863,0,0,58,0,90,0,0,0,35,9,0,3,47,0,0,0,0,0,15,0
"2017",-62.9664895,-9.384905,"CT-285",1000,0,0,43,0,3,0,26,0,3,0,0,0,0,0,0,0,0,0,0,0
"2018",-62.953611,-9.3849036,"CT-286",50,0,0,44,0,6,0,255,0,6,0,0,0,12,0,6,0,0,0,0,0
"2018",-62.9407325,-9.3849016,"CT-287",111.8030014,0,0,44,3,41,0,134,0,0,0,14,0,0,0,0,0,0,0,0,0
"2018",-62.927854,-9.3848993,"CT-288",316.2279968,0,0,43,0,22,0,13,0,0,3,10,0,0,0,0,0,0,0,0,0
"2018",-62.9149755,-9.3848964,"CT-289",471.6990051,0,0,43,0,63,0,61,0,3,3,44,3,0,0,0,0,0,0,0,0
"2018",-62.902097,-9.3848931,"CT-290",250,0,0,44,3,65,0,0,60,21,0,12,0,0,0,0,0,0,0,0,0
"2016",-62.8377047,-9.3848694,"CT-295",70.710701,0,0,41,0,37,0,3,0,0,6,0,0,27,0,0,0,0,0,0,0
"2017",-62.8377047,-9.3848694,"CT-295",70.710701,0,0,35,0,14,0,33,0,22,0,0,0,0,0,0,0,3,0,0,0
"2018",-62.8377047,-9.3848694,"CT-295",70.710701,0,0,50,0,15,0,107,0,0,0,23,42,0,0,0,0,0,0,0,0
"2016",-62.8248262,-9.3848632,"CT-296",602.0800171,0,0,41,0,22,0,20,0,9,0,16,0,0,0,0,0,0,5,0,0
"2018",-62.8248262,-9.3848632,"CT-296",602.0800171,0,0,50,3,2,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0
"2019",-63.056637,-9.3721126,"CT-316",1081.6700439,0,0,48,0,3,0,46,0,0,0,9,0,114,0,0,0,0,0,0,3
"2020",-63.056637,-9.3721126,"CT-316",1081.6700439,0,0,37,0,0,0,47,0,18,0,13,0,31,0,0,0,0,14,0,0
"2019",-63.0437589,-9.3721144,"CT-317",632.4559937,0,0,48,0,0,0,21,0,0,3,9,0,0,0,0,0,0,0,0,0
"2019",-63.0308809,-9.3721158,"CT-318",50,0,0,46,0,0,0,0,5,32,0,0,0,0,0,5,0,0,0,0,0
"2017",-63.0180029,-9.3721167,"CT-319",552.2680054,0,0,58,0,9,0,0,0,0,0,0,0,0,0,0,16,9,0,3,0
"2019",-63.0180029,-9.3721167,"CT-319",552.2680054,0,0,46,0,14,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
"2020",-63.005125,-9.372117,"CT-320",838.1530151,0,0,45,0,23,0,96,0,0,0,24,0,0,20,0,0,0,0,0,0
"2020",-62.99225,-9.372117,"CT-321",100,0,0,42,0,41,0,0,0,21,0,14,0,0,6,0,0,0,0,0,0
"2018",-62.9793688,-9.3721165,"CT-322",494.9750061,0,0,45,0,50,0,17,0,11,0,15,0,0,0,0,0,0,0,0,0
"2020",-62.9793688,-9.3721165,"CT-322",494.9750061,0,0,20,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2017",-62.9664907,-9.3721155,"CT-323",100,0,0,62,0,6,0,0,15,0,2,0,0,0,0,3,6,0,0,0,5
"2018",-62.9664907,-9.3721155,"CT-323",100,0,0,44,0,9,0,0,11,5,3,0,0,0,0,0,0,0,0,0,0
"2020",-62.9664907,-9.3721155,"CT-323",100,0,0,44,0,20,0,11,0,21,0,5,0,42,0,0,24,0,3,6,0
"2017",-62.9536127,-9.3721141,"CT-324",640.3120117,0,0,62,3,11,15,33,0,11,6,0,0,0,0,0,0,0,0,0,0
"2019",-62.9536127,-9.3721141,"CT-324",640.3120117,0,0,45,0,24,0,20,0,14,0,3,0,0,0,3,0,0,0,0,0
"2017",-62.9407347,-9.3721122,"CT-325",158.1139984,0,0,62,0,8,0,33,0,3,0,0,0,0,0,3,0,0,0,0,0
"2019",-62.9407347,-9.3721122,"CT-325",158.1139984,0,0,42,0,10,0,59,0,3,0,9,0,3,0,0,0,0,0,3,0
"2018",-62.9278567,-9.3721098,"CT-326",320.1560059,0,0,43,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"2018",-62.9149786,-9.3721069,"CT-327",150,0,0,41,0,0,0,0,0,0,0,14,0,0,0,0,0,3,0,0,0
"2018",-62.9021006,-9.3721036,"CT-328",200,0,0,41,0,3,0,50,0,7,6,23,0,0,0,0,0,0,0,0,0
"2018",-62.8892226,-9.3720998,"CT-329",50,0,0,44,3,12,0,16,12,0,0,3,0,0,0,0,0,0,0,0,0
"2017",-63.0437573,-9.3593249,"CT-355",800,0,0,58,0,27,0,48,26,9,0,0,0,0,0,0,0,0,0,0,0
"2019",-63.0437573,-9.3593249,"CT-355",800,0,0,45,0,9,0,34,0,0,0,0,0,0,0,0,0,0,0,3,0
"2019",-63.0308798,-9.3593263,"CT-356",316.2279968,0,0,58,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0
"2017",-63.0308798,-9.3593263,"CT-356",316.2279968,0,0,46,0,0,0,0,5,2,0,19,0,0,0,0,0,0,0,0,0
"2017",-63.0180022,-9.3593272,"CT-357",550,0,0,57,0,9,0,91,0,1,2,0,7,8,0,0,0,0,0,0,0
"2019",-63.0180022,-9.3593272,"CT-357",550,0,0,46,1,4,0,208,6,4,0,1,0,0,0,1,0,0,0,0,0
"2018",-63.0051247,-9.3593276,"CT-358",403.1130066,0,0,40,12,3,3,154,0,62,0,20,0,200,0,0,0,0,0,0,0
"2020",-62.9922471,-9.3593275,"CT-359",452.7690125,0,0,45,0,21,0,7,0,7,0,6,14,0,3,0,0,0,0,0,0
"2018",-62.9922471,-9.3593275,"CT-359",452.7690125,0,0,44,0,33,0,0,0,10,0,7,0,27,0,0,0,0,3,0,0
"2019",-62.9793695,-9.359327,"CT-360",180.2779999,0,0,45,0,22,9,79,9,3,0,0,0,0,0,0,0,0,0,0,0
"2020",-62.9793695,-9.359327,"CT-360",180.2779999,0,0,44,0,6,0,3,13,11,0,0,0,30,0,0,0,0,0,0,0
"2019",-62.966492,-9.359326,"CT-361",100,0,0,39,0,6,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0
